Rank,Release Group,Worldwide,Domestic,%,Foreign,%
543,Les têtes de l'emploi,"$3,444,421",-,-,"$3,444,421",100%
544,Oddsville Christmas,"$3,429,915",-,-,"$3,429,915",100%
545,A Living Promise,"$3,409,317",-,-,"$3,409,317",100%
546,The Neon Demon,"$3,377,430","$1,333,124",39.5%,"$2,044,306",60.5%
547,Crazy Ugly Duckling,"$3,375,129",-,-,"$3,375,129",100%
548,May God Save Us,"$3,369,996",-,-,"$3,369,996",100%
549,Shuriken Sentai Ninninger vs. ToQger the Movie: Ninjas in Wonderland,"$3,352,389",-,-,"$3,352,389",100%
550,Masha e o Urso,"$3,329,214",-,-,"$3,329,214",100%
551,Vanishing Time: A Boy Who Returned,"$3,328,517","$57,759",1.7%,"$3,270,758",98.3%
552,Saint Amour,"$3,280,041",-,-,"$3,280,041",100%
553,Bilal: A New Breed of Hero,"$3,254,027",-,-,"$3,254,027",100%
554,The Crew,"$3,246,104",-,-,"$3,246,104",100%
555,The Adventures of Wei Bao Bao,"$3,233,185",-,-,"$3,233,185",100%
556,André Rieu's 2016 Maastricht Concert,"$3,224,716",-,-,"$3,224,716",100%
557,The Red Thread,"$3,223,573",-,-,"$3,223,573",100%
558,Fan Gun Khae Wan Diaw,"$3,209,020",-,-,"$3,209,020",100%
559,Dear Zindagi,"$3,199,581","$2,376,479",74.3%,"$823,102",25.7%
560,Everything About Her,"$3,176,352",-,-,"$3,176,352",100%
561,"Love, Lies","$3,174,887",-,-,"$3,174,887",100%
562,Küçük Esnaf,"$3,140,566",-,-,"$3,140,566",100%
563,Canola,"$3,131,694",-,-,"$3,131,694",100%
564,Fuga da Reuma Park,"$3,130,495",-,-,"$3,130,495",100%
565,These Daughters of Mine,"$3,097,650",-,-,"$3,097,650",100%
566,Aquarius,"$3,085,977","$285,930",9.3%,"$2,800,047",90.7%
567,Last Call for Nowhere,"$3,076,472",-,-,"$3,076,472",100%
568,Das Tagebuch der Anne Frank,"$3,068,263",-,-,"$3,068,263",100%
